Sample	Dataset	sex	superpop
HG02470	1KGP-LRSC	XY	AFR
HG02484	1KGP-LRSC	XY	AFR
HG02486	HPRC	XY	AFR
HG02514	HPRC	XY	EAS
HG02523	HPRC	XX	EAS
HG02549	1KGP-LRSC	XX	AFR
HG02555	1KGP-LRSC	XX	AFR
HG02559	HPRC	XX	AFR
HG02572	HPRC	XY	AFR
HG02583	HPRC	XX	AFR
HG02594	1KGP-LRSC	XY	AFR
HG02601	1KGP-LRSC	XX	SAS
HG02602	HPRC	XY	SAS
HG02615	HPRC	XX	AFR
HG02622	HPRC	XX	AFR
HG02630	HPRC	XX	AFR
HG02647	HPRC	XY	AFR
HG02668	HPRC	XY	AFR
HG02698	HPRC	XY	SAS
HG02717	HPRC	XY	AFR
HG02723	HPRC	XX	AFR
HG02735	HPRC	XY	SAS
HG02738	HPRC	XY	SAS
HG02763	1KGP-LRSC	XX	AFR
HG02772	1KGP-LRSC	XX	AFR
HG02780	1KGP-LRSC	XY	SAS
HG02809	HPRC	XX	AFR
HG02810	1KGP-LRSC	XY	AFR
HG02818	HPRC	XX	AFR
HG02819	1KGP-LRSC	XY	AFR
HG02837	1KGP-LRSC	XX	AFR
HG02840	1KGP-LRSC	XX	AFR
HG02841	HPRC	XX	AFR
HG02852	1KGP-LRSC	XX	AFR
HG02854	1KGP-LRSC	XY	AFR
HG02860	1KGP-LRSC	XY	AFR
HG02861	1KGP-LRSC	XX	AFR
HG02884	1KGP-LRSC	XY	AFR
HG02885	1KGP-LRSC	XX	AFR
HG02886	HPRC	XX	AFR
HG02887	1KGP-LRSC	XY	AFR
HG02891	1KGP-LRSC	XX	AFR
HG02922	HPRC	XX	AFR
HG02952	1KGP-LRSC	XX	AFR
HG02965	HPRC	XY	AFR
HG02968	1KGP-LRSC	XY	AFR
HG02976	HPRC	XX	AFR
HG02977	1KGP-LRSC	XY	AFR
HG02984	HPRC	XY	AFR
HG03009	1KGP-LRSC	XY	SAS
HG03017	HPRC	XY	SAS
HG03018	1KGP-LRSC	XY	SAS
HG03027	1KGP-LRSC	XY	AFR
HG03041	HPRC	XX	AFR
HG03045	1KGP-LRSC	XY	AFR
HG03050	HPRC	XY	AFR
HG03055	1KGP-LRSC	XX	AFR
HG03066	1KGP-LRSC	XY	AFR
HG03079	1KGP-LRSC	XX	AFR
HG03098	HPRC	XY	AFR
HG03099	1KGP-LRSC	XX	AFR
HG03118	1KGP-LRSC	XY	AFR
HG03123	1KGP-LRSC	XX	AFR
HG03129	1KGP-LRSC	XX	AFR
HG03130	HPRC	XY	AFR
HG03139	HPRC	XY	AFR
HG03157	1KGP-LRSC	XY	AFR
HG03160	1KGP-LRSC	XY	AFR
HG03166	1KGP-LRSC	XY	AFR
HG03195	HPRC	XX	AFR
HG03209	HPRC	XY	AFR
HG03224	1KGP-LRSC	XY	AFR
HG03225	HPRC	XY	AFR
HG03239	HPRC	XX	SAS
HG03270	HPRC	XX	AFR
HG03352	1KGP-LRSC	XY	AFR
HG03367	1KGP-LRSC	XY	AFR
HG03369	HPRC	XX	AFR
HG03382	1KGP-LRSC	XY	AFR
HG03385	1KGP-LRSC	XY	AFR
HG03433	1KGP-LRSC	XY	AFR
HG03436	1KGP-LRSC	XY	AFR
HG03453	HPRC	XX	AFR
HG03464	1KGP-LRSC	XX	AFR
HG03470	HPRC	XX	AFR
HG03471	HPRC	XY	AFR
HG03472	1KGP-LRSC	XY	AFR
HG03478	1KGP-LRSC	XY	AFR
HG03486	HPRC	XX	AFR
HG03514	1KGP-LRSC	XX	AFR
HG03516	HPRC	XX	AFR
HG03521	HPRC	XY	AFR
HG03538	1KGP-LRSC	XY	AFR
HG03540	HPRC	XX	AFR
HG03575	1KGP-LRSC	XX	AFR
HG03579	HPRC	XY	AFR
HG03583	HPRC	XX	AFR
HG03603	1KGP-LRSC	XY	SAS
HG03629	1KGP-LRSC	XY	SAS
HG03654	HPRC	XY	SAS
HG03663	1KGP-LRSC	XY	SAS
HG03667	1KGP-LRSC	XY	SAS
HG03669	HPRC	XX	SAS
HG03680	1KGP-LRSC	XY	SAS
HG03685	1KGP-LRSC	XY	SAS
HG03688	HPRC	XY	SAS
HG03693	1KGP-LRSC	XY	SAS
HG03694	1KGP-LRSC	XY	SAS
HG03698	1KGP-LRSC	XX	SAS
HG03704	HPRC	XX	SAS
HG03710	HPRC	XY	SAS
HG03720	1KGP-LRSC	XY	SAS
HG03733	1KGP-LRSC	XX	SAS
HG03742	HPRC	XY	SAS
HG03743	1KGP-LRSC	XY	SAS
HG03745	1KGP-LRSC	XY	SAS
HG03752	1KGP-LRSC	XX	SAS
HG03755	1KGP-LRSC	XY	SAS
HG03757	1KGP-LRSC	XX	SAS
HG03772	1KGP-LRSC	XX	SAS
HG03779	1KGP-LRSC	XY	SAS
HG03784	HPRC	XX	SAS
